,cat1,cat10,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,favorite_count,hour,image,level,nadj,nadv,nemoji,nlevel,nword,orginal,padj,padv,pemoji,plevel,pnoun,punc1,punc2,punc3,pword,question,result,retweets_count,sarcasm,sentiment,tweet_id,url,user_name
1548,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175170,0,0,1155667938386403328,0,mariafollosco
1549,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3336,0,0,1155725555712479232,1,thehollymae
1550,0,1,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,975,0,0,1155722023210852352,0,thehollymae
1551,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1153720100085751808,1,Janrothethird
1552,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1152809861412839424,0,Janrothethird
1553,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,2,0,0,273,0,1,1155800008450613248,0,marylmcaffry
1554,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,2,0,0,168,0,1,1155798792375099392,0,marylmcaffry
1555,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,934,0,1,1107023347580366848,0,kinowicka
1556,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1029027706304950272,0,kinowicka
1557,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155685099914051584,0,alexisamahni
1558,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2077,0,0,1155181847531401216,0,nickcaponee
1559,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1155146272703176704,0,nickcaponee
1560,0,0,0,0,0,0,1,0,0,1,0,15,0,0,0,0,0,0,2,1,3,1,0,1,2,0,0,0,2,0,0,0,0,1,1126504055772049408,0,kyut_mu
1561,0,0,0,0,0,0,0,0,0,1,0,20,0,0,2,-1,1,-1,1,1,0,0,0,0,3,0,0,0,1,0,0,0,0,-1,1123685910808289280,0,kyut_mu
1562,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1152110080411619328,1,thetruthuntold
1563,0,0,0,1,0,0,0,0,0,0,2,5,0,0,2,-1,0,-1,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,-1,1151720122819547136,0,thetruthuntold
1564,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,1,0,1,0,1,3,0,0,0,1,0,0,0,0,1,999282179816476672,1,IceFox_PKMN
1565,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,999282138569695232,1,IceFox_PKMN
1566,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1152023686255280128,1,alvpyrola
