,cat1,cat10,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,favorite_count,hour,image,nadj,nadv,nemoji,nlevel,nword,orginal,padj,padv,pemoji,plevel,pnoun,punc1,punc2,punc3,pword,question,retweets_count,sarcasm,sentiment,url
1278,0,0,0,0,0,0,0,1,0,0,0,26,0,0,-1,0,-1,1,2,0,1,1,1,1,1,0,0,1,0,0,0,0,0
1279,0,0,1,0,0,0,0,0,0,0,0,18,0,0,0,0,0,2,1,3,1,0,1,1,0,0,0,2,0,55358,0,1,1
1280,0,0,0,0,0,0,0,0,0,1,123,26,1,0,0,0,0,1,2,0,1,0,1,2,0,0,0,1,0,4,0,1,0
1281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1282,0,1,1,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,118271,0,0,0
1283,0,0,0,1,0,0,0,0,0,0,13,6,0,1,-1,0,-1,1,2,0,0,0,0,3,0,0,0,1,0,0,0,-1,1
1284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1285,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3822,0,0,0
1286,0,0,0,0,0,0,0,0,0,0,1,30,0,0,0,0,0,5,2,3,2,0,2,3,0,0,0,5,0,0,0,2,1
1287,0,0,0,0,0,0,0,0,0,0,7,35,0,0,-1,0,-1,1,2,0,0,0,0,2,1,0,3,1,0,0,0,-1,0
1288,0,1,0,0,0,0,0,0,0,1,4,16,0,0,-1,2,-1,2,2,1,1,0,1,3,0,0,0,2,0,0,0,2,0
1289,0,0,0,0,0,0,0,0,0,0,15,465,0,0,0,0,0,15,30,0,15,0,15,0,30,0,0,15,0,0,0,15,30
1290,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1055,0,0,0
1291,0,0,0,0,0,0,0,0,0,0,32,21,0,0,0,0,0,1,1,1,1,0,1,4,1,0,0,1,0,13,0,1,1
1292,0,0,1,0,0,0,0,0,0,0,0,20,0,0,0,0,0,2,2,2,2,0,2,1,0,0,0,2,0,0,0,2,2
1293,0,1,0,0,0,0,0,0,0,1,0,15,0,0,-1,0,-1,2,2,1,1,0,1,0,0,0,0,2,0,0,0,0,0
1294,0,0,0,1,0,1,0,0,0,0,1,12,0,0,0,1,0,1,2,1,1,0,1,1,0,0,0,1,0,0,0,1,0
1295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1296,0,0,0,0,0,0,0,1,0,0,2,24,0,0,0,0,0,1,2,0,1,0,1,4,0,0,0,1,0,0,0,1,2
1297,0,2,1,0,0,0,0,0,0,0,0,22,0,0,0,0,0,1,2,0,1,0,1,4,1,0,1,1,0,0,0,1,1
1298,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,2,1,1,2,0,2,2,0,0,0,2,0,22597,0,2,1
1299,0,0,0,0,0,0,0,0,0,0,1,6,1,0,-1,0,-1,0,1,0,0,1,0,1,0,1,1,0,1,373,0,-1,0
1300,1,0,0,0,0,0,0,0,0,0,1,30,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,108,0,0,0
