image,url,question,original,pnoun,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,pword,nword,pemoji,nemoji,pun1,pun2,pun3,padv,nadv,favorite_count,retweets_count,hour,level,result
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,6,0,0,-0.041666667,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,-0.052631579,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,-0.166666667,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,1,0,0,0,23,-0.052631579,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,1,0,23,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,23,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,1,0,0,12,23,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,23,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,1,3,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,1,0,101,12,23,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,-0.111111111,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,3,0,22,-0.047619048,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,3,1,22,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
